Name,Job title,Job department,Job location,Headline,Creation time,Stage,Tags,Source,Type,Summary,Keywords,Educations,Experiences,Skills,Disqualified,Disqualified at,Disqualification category,Disqualification reason,Disqualification note,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3,Question 4,Answer 4,Question 5,Answer 5,Question 6,Answer 6,Question 7,Answer 7
Candidate 13,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-19 11:27:02,Applied,,startup.jobs,ManualCandidate,,ruby|ruby on rails|postgresql|React,Bachelor Computer Science at Institute of Management Sciences (Peshawar) (N/A to N/A),Backend Engineer at TechNerds (N/A to N/A)  | Full Stack Engineer at GreenPearls (N/A to N/A),,Yes,2024-08-19 11:27:03,Rejected candidate,Doesn't have required qualifications,Are you located in Latin America? No,Do you have 4+ years of professional experience as a Software Engineer?,TRUE,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),TRUE,,,Describe your experience with either Golang or Rust.,"I have experience with Golang (Go programming language), including:

- Proficiency in Go programming language
- Development of scalable and concurrent systems using Go's goroutine and channel features
- Understanding of Go's standard library and popular frameworks like Revel, Gin, and Echo
- Experience with Go's testing framework and benchmarking tools
- Familiarity with Go's error handling and logging mechanisms
- Knowledge of Go's performance optimization techniques

I've worked on projects using Go, including:

- Building high-performance web services and APIs
- Developing microservices and distributed systems
- Creating command-line tools and utilities
- Integrating Go with other languages and systems using gRPC and protobuf

I appreciate Go's simplicity, reliability, and efficiency, and I'm confident in my ability to design and develop scalable and maintainable systems&nbsp;using&nbsp;Go",,,Do you have an experience in a startup environment? Tell us about your experience.,"Yes, I have experience working in a startup environment. I've worked with several startups, collaborating closely with founding teams, engineers, and product managers to drive innovation and growth.

In these fast-paced and dynamic environments, I've:

- Contributed to rapid prototyping and development of new features and products
- Collaborated with cross-functional teams to achieve ambitious goals and deadlines
- Embraced iterative development, continuous integration, and continuous deployment (CI/CD)
- Participated in agile development methodologies, such as Scrum and Kanban
- Focused on delivering high-quality solutions, prioritizing customer needs and feedback
- Adapted to evolving requirements, pivoting when necessary to ensure project success

Startup experience has taught me to be:

- Agile and flexible
- Proactive and self-motivated
- Collaborative and communicative
- Adaptable to changing priorities and requirements
- Focused on delivering results and impact

I thrive in startup environments, where innovation, creativity, and speed are essential. I'm excited to bring my skills and experience to another startup&nbsp;venture!",Are you located in Latin America?,FALSE
Candidate 14,Sr Software Engineer (Obj-C & iOS exp),Engineering,Brazil,Senior Full-Stack Blockchain Developer at Google,2024-08-19 10:55:59,Applied,,startup.jobs,ManualCandidate,,AWS|EC2,Bachelor of Science Computer Science at University of Florida (Aug 2007 to May 2011),Senior Full and Stack Blockchain Developer at Google (Jan 2018 to N/A)  | Stack Developer at Innovative Tech Solutions (Jun 2013 to Dec 2017)  | Web Developer at Tech Pioneers (Aug 2011 to May 2013),,Yes,2024-08-19 10:56:00,Rejected candidate,Doesn't have required qualifications,Are you currently living in Latin America? No,Do you have 5+ years of professional experience as a fullstack developer?,TRUE,"Describe your experience with Objective-C. And, when did you last use it?",Good,Are you familiar with Ruby on Rails? Please describe your experience,Yes,Have you worked in the orthodontal industry? Do you have experience with orthodental systems?,TRUE,Which databases have you worked with? List them,-,Are you currently living in Latin America?,FALSE,,
Candidate 15,Senior DevOps Engineer - AWS,Engineering,Mexico,Senior Full-Stack Blockchain Developer at Google,2024-08-19 10:52:54,Applied,,startup.jobs,ManualCandidate,,,Bachelor of Science Computer Science at University of Florida (Aug 2007 to May 2011),Senior Full and Stack Blockchain Developer at Google (Jan 2018 to N/A)  | Stack Developer at Innovative Tech Solutions (Jun 2013 to Dec 2017)  | Web Developer at Tech Pioneers (Aug 2011 to May 2013),,Yes,2024-08-19 10:52:56,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin Amerca? No,Do you have 5+ of professional experience in DevOps?,TRUE,"Have you worked with Amazon Web Services (AWS) extensively, including services such as EC2, ECS, etc.?",TRUE,Describe your experience with incident response and performance monitoring in a DevOps environment. How have you contributed to ensuring high availability and reliability of systems?,Very good,Do you currently live in Latin Amerca?,FALSE,,,,,,
Candidate 16,Senior DevOps Engineer - AWS,Engineering,Mexico,DevOps Engineer at FABIUS LABS,2024-08-19 8:30:31,Applied,,google.com,ManualCandidate,,,Master'S  at Florida International University (Jan 2009 to Dec 2014),Devops Engineer at FABIUS LABS (Oct 2021 to N/A)  | Devops Engineer at  (Jun 2017 to Aug 2021)  | Backend Developer at TOPTAL (Aug 2014 to Mar 2017),,Yes,2024-08-19 8:30:32,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin Amerca? No,Do you have 5+ of professional experience in DevOps?,TRUE,"Have you worked with Amazon Web Services (AWS) extensively, including services such as EC2, ECS, etc.?",TRUE,Describe your experience with incident response and performance monitoring in a DevOps environment. How have you contributed to ensuring high availability and reliability of systems?,"In my role as a DevOps Engineer, I’ve been deeply involved in incident response and performance monitoring to ensure high availability and system reliability. At Fabius Labs, I led Site Reliability Engineering (SRE) efforts, where I implemented monitoring infrastructure using Prometheus and Grafana. This allowed for real-time system visibility and proactive alerts, which helped reduce downtime and resolve incidents more efficiently. I also deployed and maintained high-availability (HA) Elasticsearch clusters and MinIO object storage, ensuring data redundancy and system resilience. By continuously optimizing logging, monitoring, and clustering services, I contributed to seamless operations and improved infrastructure performance.",Do you currently live in Latin Amerca?,FALSE,,,,,,
Candidate 17,Sr Software Engineer (Obj-C & iOS exp),Engineering,Brazil,,2024-08-19 6:30:01,Applied,,linkedin.com free,ManualCandidate,,AWS|Rails|Shell|Terraform,Master of Business Administration Project Management at Centro de Inovação Vincit (N/A to N/A)  | Bachelor'S Information Technology and Management at Universidade Paulista (UNIP (N/A to Dec 2012)  | Master of Business Administration Architecture at Unylya (N/A to Dec 2018)  | Bachelor'S Systems Analysis and Development at UniCesumar (N/A to Dec 2018)  | Postgraduate Software Engineering at Centro de Inovação Vincit (N/A to Dec 2019),Senior Software Engineer Development Iii at LOCALIZA (Jan 2020 to N/A)  | Content Professor at GOVERNO DO ESTADO DO PARANÁ (Jan 2020 to Dec 2021)  | Chief Information Officer at INOLIVRY (Jan 2018 to Dec 2020)  | Software Architect at INTEGRAPIS START-UP (Jan 2017 to Dec 2019)  | Information Technology Infrastructure Analyst at USINA ALTO ALEGRE (Jan 2015 to Dec 2021)  | Partner at JC TECNOLOGIA DA INFORMAÇÃO (Jan 2011 to Dec 2015),Amazon Web Services (AWS)|SQL,No,,,,,Do you have 5+ years of professional experience as a fullstack developer?,TRUE,"Describe your experience with Objective-C. And, when did you last use it?","I have experience working with Objective-C, primarily in developing iOS applications before the introduction of Swift. My work involved building and maintaining features in legacy codebases, integrating with APIs, and ensuring compatibility across different iOS versions. Although I transitioned to Swift and other modern languages, the last time I actively used Objective-C was around 2016, when I contributed to a project that required maintaining an existing Objective-C codebase while gradually migrating to Swift.",Are you familiar with Ruby on Rails? Please describe your experience,"Yes, I am familiar with Ruby on Rails. I have used Ruby on Rails to build several web applications, primarily focused on delivering quick and scalable solutions. My experience includes:

Web Application Development: I’ve developed full-stack web applications using Ruby on Rails, including both front-end and back-end components. This involved setting up the MVC architecture, managing routing, and integrating views with ERB and Haml.

Database Management: I’ve worked with Active Record to manage database interactions, handling migrations, validations, and relationships between models efficiently.

RESTful APIs: I’ve created and consumed RESTful APIs within Ruby on Rails applications, ensuring that the applications adhere to RESTful principles and best practices.

Testing: I’ve employed testing frameworks like RSpec and Capybara to ensure that the applications are robust and error-free.

Performance Optimization: I’ve also been involved in optimizing Rails applications, including database indexing, query optimization, and implementing background jobs with Sidekiq and Redis to handle asynchronous tasks.

My experience with Ruby on Rails has been instrumental in delivering high-quality web applications within tight deadlines, leveraging the framework's capabilities to develop maintainable and scalable software.",Have you worked in the orthodontal industry? Do you have experience with orthodental systems?,TRUE,Which databases have you worked with? List them,"I've worked with several databases, including:  MySQL SQL Server PostgreSQL MongoDB Oracle SQLite Redis Elasticsearch",Are you currently living in Latin America?,TRUE,,
Candidate 18,Lead Generator,Engineering,Colombia,,2024-08-18 20:21:59,Sourced,,Uploaded,UploadedCandidate,,,French and Foreign Language at Alliance Française (Sep 2021 to Nov 2021)  |  Advertising at Pontifical Bolivarian University (Jan 2020 to Jan 2020)  |  Advertising and Public Relations at University of the Basque Country (Jan 2017 to Jan 2018)  |  Advertising and Communications at Western Institute of Technology and Higher Education (Aug 2015 to May 2021),Software Market Specialist at Slashdot Media (Sep 2023 to N/A)  | Client Success Executive at Ecom Health Center (Apr 2023 to Jul 2023)  | People Operations Coordinator at Wexpand (Jan 2023 to Feb 2023)  | Team Lead at CIENCE (May 2022 to Dec 2022)  | Sdr at CIENCE (Jun 2021 to May 2022)  | Apprentice Consultant and Marketing at CUE ITESO (Aug 2020 to May 2021)  | Owner at Freelance (Jul 2018 to Jan 2020)  | Customer Service Representative at Teleperformance (Jan 2015 to Jun 2015),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",,Please describe your experience as lead generator or sales development representative.,,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",,Do you currently live in Latin America?,,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,,,
Candidate 19,Lead Generator,Engineering,Colombia,,2024-08-18 20:21:59,Sourced,,Uploaded,UploadedCandidate,,,"Bachelor of Engineering Be, Ingeniería Civil at Rafael Urdaneta University (Jan 2017 to Jan 2024)",Sales Development Representative at RealityCreator.com (Mar 2024 to N/A)  | Team Lead at MADE OMNI (Jan 2022 to Mar 2024)  | Outreach Specialist at MADE OMNI (Sep 2021 to Jan 2022)  | Tutor at Self-employed (Jan 2019 to Aug 2021)  | English Teacher at Centro Electronico de Idiomas (Nov 2018 to Dec 2019),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",,Please describe your experience as lead generator or sales development representative.,,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",,Do you currently live in Latin America?,,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,,,
Candidate 20,Lead Generator,Engineering,Colombia,,2024-08-18 20:21:59,Sourced,,Uploaded,UploadedCandidate,,,"Economia, Gestão at Federal University of Juiz de Fora (Jan 2018 to Jan 2022)",Business Development Manager at WEPayments (Apr 2024 to N/A)  | Global Sales Development Representative at FacilitaPay (Jan 2023 to Apr 2024)  | Sales Development Representative at FaçaAgora! (Mar 2021 to Jan 2023)  | Diretor De Projetos at Campe Consultoria Jr. (Jul 2020 to Dec 2020)  | Gerente De Negócios at Campe Consultoria Jr. (Feb 2020 to Jul 2020)  | Gerente De Projetos at Campe Consultoria Jr. (Jan 2020 to Jul 2020)  | Bolsista De Iniciação Científica at Universidade Federal de Juiz de Fora (Aug 2019 to Feb 2020)  | Consultor De Projetos at Campe Consultoria Jr. (Aug 2019 to Jan 2020),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",,Please describe your experience as lead generator or sales development representative.,,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",,Do you currently live in Latin America?,,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,,,
Candidate 21,Lead Generator,Engineering,Colombia,,2024-08-18 20:21:59,Sourced,,Uploaded,UploadedCandidate,,,Bachelor Advertising and Marketing at Federal University of Minas Gerais (Jul 2021 to Jul 2025)  | Bachelor Biology at Federal University of Viçosa (Feb 2018 to Dec 2020)  | Technical Degree Information Technology at E. E. Dr. Olavo Tostes (Sep 2015 to Aug 2017)  | Bachelor International Business at Istanbul Commerce University (N/A to Mar 2024),Sales Executive at Rubeus (Jan 2023 to N/A)  | Sales Development Representative at Rubeus (Aug 2022 to Dec 2022)  | Copywriter at Softaliza (Sep 2021 to Dec 2021)  | Marketing Analyst at Rubeus (Jul 2021 to Jul 2022)  | Marketing Intern at Rubeus (Dec 2020 to Jul 2021)  | President at In Bio - Empresa Júnior de Biologia (Mar 2019 to Mar 2020)  | Marketing Director at In Bio - Empresa Júnior de Biologia (Mar 2018 to Mar 2019),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",,Please describe your experience as lead generator or sales development representative.,,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",,Do you currently live in Latin America?,,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,,,
Candidate 22,Lead Generator,Engineering,Colombia,,2024-08-18 20:21:59,Sourced,,Uploaded,UploadedCandidate,,,,International Marketing Assistant at Influu (Jan 2022 to Dec 2022)  | Sales Development Representative at Agmov Industrial Supplies (Jan 2022 to Dec 2023)  |  at Universidade Metodista de São Paulo (Jan 2016 to Dec 2018)  |  at Negócios Internacionais e Comércio Exterior (Jan 2013 to Dec 2015),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",,Please describe your experience as lead generator or sales development representative.,,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",,Do you currently live in Latin America?,,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,,,
Candidate 23,Lead Generator,Engineering,Colombia,,2024-08-18 20:21:59,Sourced,,Uploaded,UploadedCandidate,,,Bachelor & Bachelor of Law Law at Laureate Education (Jan 2018 to Dec 2022),Ambassador at EVOLVE Commerce Club (Apr 2024 to N/A)  | Community Manager at Kobe Apps (Jan 2024 to N/A)  | Business Analyst at Kobe Apps (Jan 2023 to Jan 2024)  | Sales Development Representative at Kobe Apps (Oct 2021 to Dec 2022)  | Business Development Representative at Tenex (Oct 2020 to Oct 2021)  | Sales Coordinator at AIESEC (Feb 2019 to Feb 2020)  | Sales Manager at AIESEC (Sep 2018 to Jan 2019),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",,Please describe your experience as lead generator or sales development representative.,,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",,Do you currently live in Latin America?,,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,,,
Candidate 24,Lead Generator,Engineering,Colombia,,2024-08-18 20:21:59,Sourced,,Uploaded,UploadedCandidate,,,Bachelor of Engineering Computer Engineering at National University of Córdoba (Jan 2016 to Jan 2019)  | Bachelor'S Natural Sciences at Accademia dei Lincei (N/A to N/A)  | Bachelor'S Computer Programming at National University of Córdoba (N/A to Jan 2021),Head of Business Development at Guru Labs Software & Blockchain Solutions (Feb 2024 to N/A)  | Sales Development Representative at Solvo Global (May 2023 to Feb 2024)  | Sales Supervisor at Chevrolet (Jul 2019 to May 2023),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",,Please describe your experience as lead generator or sales development representative.,,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",,Do you currently live in Latin America?,,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,,,
